rate,distortion,round
0.0008039695843145012,1664.6294925576506,0
0.002050471155055078,1648.221173044415,1
0.03808573105315579,1576.5524890974357,2
0.5345508750139732,1219.7916936874246,3
2.1476116348889773,552.9302483126562,4
3.3448697251978774,171.41609672403288,5
3.787146430359391,45.44310772623114,6
3.9243542055558422,14.312730211584608,7
3.9675170311192147,5.310707140714491,8
3.9845226334989086,2.676618134921879,9
3.9910139695293787,2.4401823658479356,10
3.994420315809864,2.413039644212216,11
3.996607621832068,2.3984736627062104,12
3.9981031794746733,2.388729401182097,13
3.999186362163883,2.3816718182700036,14
4.000010964791404,2.376573475549664,15
4.000662751006145,2.37279058519506,16
4.001197885531757,2.369686259999323,17
4.001648616659838,2.3670662053605156,18
4.002035608419116,2.3648195927034723,19
4.002372867774077,2.3628689729303627,20
4.002670235190639,2.361158378333438,21
4.002934857165251,2.3596461067323578,22
4.003172089815809,2.3583001940693236,23
4.0033860701292445,2.3570955001113805,24
4.003580083768296,2.3560117982985074,25
4.003756803929695,2.3550325067642297,26
4.003918447389839,2.35414383255844,27
4.004066877799578,2.353334181172092,28
4.004203676076398,2.3525937351260695,29
4.00433019071287,2.351914140332351,30
4.004447575945512,2.3512882624311557,31
4.004556822511389,2.350709990377387,32
4.004658783724217,2.350174073625442,33
4.004754198343991,2.349675984581457,34
4.00484371076968,2.349211801430713,35
4.00492788829822,2.348778109060962,36
4.005007234780293,2.348371917514841,37
4.005082200272532,2.347990597535526,38
4.005153187124218,2.3476318313294873,39
4.005220553713683,2.347293574948632,40
4.005284617203045,2.3469740281555445,41
4.005345656238195,2.346671608526814,42
4.005403913929405,2.3463849279983755,43
4.005459601062424,2.346112771181108,44
4.0055128993686635,2.3458540753104695,45
4.005563964714135,2.3456079118206,46
4.005612930135115,2.345373469501548,47
4.005659908698878,2.345150039153084,48
4.005704996190519,2.3449369996335307,49
4.005748273630606,2.3447338052122197,50
4.005789809623757,2.3445399741539448,51
4.005829662532611,2.3443550784811533,52
4.0058678824680305,2.344178734869288,53
4.005904513086276,2.3440105966316995,54
4.005939593186309,2.343850346744998,55
4.00597315810488,2.3436976918562014,56
4.006005240912127,2.3435523572029116,57
4.006035873415445,2.34341408236912,58
4.0060650869833045,2.3432826177940798,59
4.006092913203594,2.3431577219504427,60
4.006119384392281,2.3430391591104818,61
4.0061445339685,2.3429266976248964,62
4.006168396711443,2.3428201086460967,63
4.006191008913299,2.3427191652358976,64
4.006212408441212,2.342623641804929,65
4.006232634720163,2.3425333138372824,66
4.006251728647826,2.3424479578584387,67
4.006269732452009,2.342367351607589,68
4.006286689500988,2.342291274377337,69
4.0063026440770395,2.3422195074849648,70
4.006317641123242,2.3421518348405113,71
4.006331725973478,2.342088043578248,72
4.0063449440750345,2.342027924720052,73
4.006357340712516,2.3419712738418696,74
4.00636896074085,2.3419178917178045,75
4.006379848333938,2.3418675849203354,76
4.006390046754323,2.3418201663594975,77
4.006399598147765,2.3417754557483286,78
4.006408543365422,2.3417332799862343,79
4.006416921814968,2.341693473456018,80
4.006424771340946,2.3416558782338783,81
4.0064321281336746,2.3416203442147574,82
4.006439026665251,2.341586729157823,83
4.006445499650675,2.341554898658678,84
4.006451578031623,2.3415247260561363,85
4.006457290980283,2.341496092282082,86
4.006462665920467,2.3414688856632195,87
4.006467728563283,2.341443001683387,88
4.006472502954751,2.341418342714752,89
4.006477011532874,2.3413948177256003,90
4.006481275191965,2.341372341971725,91
4.006485313352182,2.3413508366776212,92
4.006489144032526,2.341330228712883,93
4.006492783925789,2.341310450268376,94
4.0064962484741775,2.341291438536006,95
4.006499551944533,2.341273135395171,96
4.006502707502322,2.3412554871083375,97
4.006505727283691,2.3412384440276277,98
4.006508622465106,2.3412219603137645,99
4.006511403330144,2.3412059936683147,100
4.006514079333214,2.3411905050798105,101
4.006516659160019,2.3411754585840128,102
4.006519150784681,2.3411608210383466,103
4.006521561523485,2.341146561910338,104
4.0065238980852875,2.341132653079735,105
4.006526166618667,2.3411190686538763,106
4.006528372755882,2.341105784795776,107
4.006530521653779,2.3410927795643706,108
4.006532618031798,2.341080032766278,109
4.00653466620719,2.341067525818462,110
4.006536670127627,2.3410552416211377,111
4.006538633401344,2.341043164440292,112
4.006540559324974,2.341031279799189,113
4.006542450909216,2.3410195743782434,114
4.006544310902506,2.3410080359227017,115
4.00654614181279,2.3409966531575463,116
4.00654794592759,2.3409854157091132,117
4.006549725332431,2.340974314032917,118
4.006551481927809,2.3409633393472107,119
4.006553217444747,2.340952483571849,120
4.006554933459124,2.3409417392720364,121
4.0065566314047985,2.340931099606581,122
4.00655831258567,2.3409205582803003,123
4.006559978186755,2.3409101095002485,124
4.006561629284332,2.3408997479354556,125
4.006563266855265,2.3408894686799084,126
4.006564891785549,2.3408792672185013,127
4.006566504878151,2.340869139395716,128
4.0065681068601915,2.3408590813868315,129
4.006569698389545,2.340849089671423,130
4.00657128006088,2.3408391610090016,131
4.006572852411197,2.340829292416595,132
4.006574415924917,2.3408194811481233,133
4.006575971038529,2.3408097246754247,134
4.006577518144864,2.3408000206707946,135
4.006579057597002,2.340790366990914,136
4.0065805897118665,2.340780761662064,137
4.006582114773493,2.340771202866508,138
4.0065836330360485,2.340761688929966,139
4.006585144726588,2.340752218310071,140
4.0065866500475735,2.340742789585754,141
4.006588149179188,2.3407334014474626,142
4.00658964228145,2.3407240526881554,143
4.006591129496148,2.340714742195012,144
4.006592610948618,2.340705468941795,145
4.006594086749356,2.340696231981821,146
4.0065955569955,2.340687030441485,147
4.006597021772191,2.3406778635142973,148
4.006598481153806,2.340668730455393,149
4.006599935205078,2.3406596305764764,150
4.006601383982143,2.3406505632411663,151
4.006602827533464,2.3406415278607073,152
