rate,distortion,beta,alpha
8.36632221424581,0.0,1000.0,0.0
6.8231350566860005,0.49857140853251997,1.0,1.0
5.824834460902039,1.9946926897566417,0.25,2.0
4.83107418556715,7.95308243501574,0.0625,4.0
3.8428645802563395,31.637682677111957,0.015625,8.0
2.866572994652781,125.11422961622208,0.00390625,16.0
