rate,distortion,beta,alpha
3.321928094887362,0.0,1000.0,0.0
1.8621766814007703,0.48504791060817504,1.0,1.0
0.9631310433473868,1.8228827826781242,0.25,2.0
0.05753089016991897,7.616356984369891,0.0625,4.0
0.001559872819681729,8.380512699796725,0.015625,8.0
0.00024836023824903464,8.845956729187742,0.00390625,16.0
