rate,distortion,round
0.0007975658970531541,1667.2001578277896,0
0.0009883321746212796,1653.721352619088,1
0.004291450293195591,1589.7621344370802,2
0.05404784739408589,1317.2220308163032,3
0.3399978134226241,757.9423468433112,4
0.8359213916835962,327.29829622826855,5
1.2288758547320553,163.33865280037256,6
1.4885680657790017,105.31175869418058,7
1.6752419294811152,79.08308971770481,8
1.8230361241271014,63.90515209538889,9
1.9462809771220722,53.82285055308345,10
2.051837615371824,46.64856636235194,11
2.1442286506376997,41.24487735747248,12
2.226288029813253,37.02214816174287,13
2.30000785943918,33.63052344939736,14
2.366896765876547,30.844938950070198,15
2.4281254918201944,28.51434271203206,16
2.4846138153515023,26.533955288782483,17
2.5370896182947775,24.829039397140633,18
2.586130501954518,23.344990494415054,19
2.632195572247454,22.04103284348798,20
2.675651461914297,20.88608306831288,21
2.7167936724110304,19.85598692563973,22
2.755863375490705,18.931648789210367,23
2.793060157648257,18.09774296214216,24
2.8285515896137223,17.341805632418463,25
2.862480477964661,16.653581199461758,26
2.894970382468999,16.024544139654544,27
2.926129741418207,15.447544938767608,28
2.9560548458728575,14.916544076390522,29
2.9848319056974044,14.426407760708061,30
3.012538478312942,13.972746474827593,31
3.0392445288055785,13.551783694958957,32
3.065013337380499,13.160247405093264,33
3.0899023781427535,12.795280793523654,34
3.1139641916708505,12.454370446288008,35
3.137247196798443,12.135290630343478,36
3.159796357409906,11.836061544247706,37
3.181653639989244,11.554918524920728,38
3.2028582493173943,11.290288751334115,39
3.22344668618952,11.040772207888295,40
3.243452709461639,10.805124444378464,41
3.2629072942762796,10.58223970197038,42
3.2818386608051386,10.371133963746589,43
3.3002724136308763,10.170928224255594,44
3.318231794129088,9.980832666267155,45
3.335738017909218,9.8001325013394,46
3.3528106525032286,9.628176059910837,47
3.3694679875663263,9.464365420292852,48
3.3857273575060347,9.308149549705329,49
3.4016053896967313,9.159019668675654,50
3.4171181656528096,9.016506378681845,51
3.432281294680227,8.88017801537809,52
3.4471099084551717,8.749639689731696,53
3.4616185909519763,8.624532533639742,54
3.475821261973357,8.50453275403346,55
3.489731034850094,8.389350205202945,56
3.503360069850073,8.278726303698926,57
3.5167194443168284,8.172431226826587,58
3.5298190583219156,8.070260447075519,59
3.5426675905744784,7.972030751692898,60
3.5552725136829437,7.877575969073523,61
3.5676401711717323,7.7867426634990595,62
3.5797759117661094,7.699386063178167,63
3.591684270267328,7.615366455601072,64
3.603369179556618,7.534546226701756,65
3.614834195327776,7.456787647872985,66
3.6260827143098715,7.381951440330108,67
3.637118168161281,7.309896080934813,68
3.647944178899332,7.240477765030952,69
3.6585646673354084,7.173550913197379,70
3.6689839126823305,7.108969098754817,71
3.679206568025562,7.046586276710872,72
3.689237641346796,6.98625820628751,73
3.6990824542796745,6.927843972215899,74
3.7087465905261543,6.8712075205303345,75
3.718235843400999,6.8162191315551866,76
3.7275561683068426,6.762756758037771,77
3.7367136421180107,6.710707163626566,78
3.7457144282569916,6.659966809614236,79
3.7545647441383783,6.610442457257693,80
3.7632708268313433,6.5620514768146,81
3.771838893267248,6.514721877560709,82
3.780275092917654,6.468392089633636,83
3.788585453165521,6.42301053491025,84
3.7967758199344175,6.378535020776944,85
3.8048517978048175,6.334931982246271,86
3.812818694333705,6.292175590971911,87
3.820681472568784,6.2502467495015885,88
3.828444714262762,6.209131996813963,89
3.836112594737166,6.168822363575864,90
3.8436888692813915,6.129312226694637,91
3.8511768705799376,6.090598217007972,92
3.8585795167226777,6.052678228743588,93
3.8658993294954676,6.01555056620806,94
3.8731384626069256,5.979213246830718,95
3.8802987392440156,5.943663466085329,96
3.8873816979560196,5.908897223419291,97
3.8943886453629184,5.874909110414317,98
3.901320713419851,5.841692270526308,99
3.9081789177299697,5.809238548457974,100
3.914964211658275,5.7775388497247775,101
3.9216775291265322,5.746583721211683,102
3.928319807726659,5.716364138070177,103
3.934891984070347,5.6868724418995376,104
3.941394955764539,5.658103325439701,105
3.9478295091861515,5.630054710384438,106
3.9541962187705195,5.602728331241134,107
3.9604953306625017,5.576129833964637,108
3.966726649786578,5.550268234610566,109
3.9728894531388526,5.52515466381547,110
3.9789824521937582,5.5008004393287715,111
3.9850038231417764,5.477214640759102,112
3.990951315371826,5.454401479422356,113
3.9968224371768,5.432357832315849,114
4.002614704936788,5.411071321926781,115
4.008325930424966,5.390519267169179,116
4.013954512717183,5.370668716092871,117
4.01949969803491,5.351477621036309,118
4.024961773155231,5.332897058917189,119
4.030342165214316,5.3148742579796275,120
4.035643431657253,5.297356085594074,121
4.04086913735602,5.280292590851591,122
4.04602362999306,5.263640186612648,123
4.051111737926532,5.24736409991688,124
4.056138424941465,5.231439813539701,125
4.061108441699422,5.215853353942368,126
4.066026013160272,5.200600432389613,127
4.070894594757827,5.185684590786938,128
4.075716718949345,5.171114615680755,129
4.080493940221834,5.1569015441972805,130
4.085226873442,5.143055589190943,131
4.089915310020508,5.1295832666304495,132
4.094558390286323,5.116484935334317,133
4.099154809094789,5.103752879189729,134
4.103703034220955,5.091369992314809,135
4.108201521927027,5.07930907781593,136
4.112648919444042,5.0675327427018395,137
4.1170442485307435,5.055993861659401,138
4.1213870669662915,5.044636584675332,139
4.125677605621287,5.033397870995962,140
4.129916877883224,5.022209537517313,141
4.134106756179739,5.011000805942226,142
4.13825000782288,4.9997013123015845,143
4.142350280293461,4.9882444981310305,144
4.146412025566067,4.976571231989994,145
4.150440355456985,4.964633418324559,146
4.154440826316889,4.9523972550029525,147
4.158419161813236,4.939845731130624,148
4.162380935585013,4.92697995053248,149
4.16633124797693,4.913818955756569,150
4.17027443863249,4.900397921579177,151
4.174213875772145,4.886764857248761,152
4.178151852121368,4.872976237034293,153
4.182089598621064,4.859092185300124,154
4.186027405154615,4.845171907514386,155
4.189964818705686,4.831269960923943,156
4.193900878635282,4.817433732961767,157
4.1978343482234814,4.8037022164949095,158
4.201763910013757,4.790105920798028,159
4.205688306240844,4.776667594516279,160
4.2096064204138814,4.76340338279229,161
4.213517308361729,4.750324081372473,162
4.217420194559992,4.737436251522058,163
4.221314451725081,4.724743081825913,164
4.22519957912922,4.712244993704839,165
4.229075189383647,4.699940065575064,166
4.232941006521961,4.6878243871516565,167
4.23679687206032,4.675892452375571,168
4.2406427518503245,4.664137667183774,169
4.244478735685992,4.652553002494022,170
4.248305023467895,4.641131780064934,171
4.252121895065032,4.6298685519201355,172
4.255929664232178,4.61876002636719,173
4.25972861866884,4.607805997549359,174
4.263518948036375,4.597010234536472,175
4.26730066016544,4.586381263467831,176
4.271073484531615,4.575932926698529,177
4.274836763460594,4.565684540974289,178
4.278589336731362,4.555660436973983,179
4.2823294335175035,4.545888686417761,180
4.28605459372258,4.536398935792033,181
4.289761644158692,4.527219456510813,182
4.293446750224558,4.518373737426502,183
4.297105550675739,4.509877110818233,184
4.300733365511797,4.501733951601284,185
4.304325450808592,4.493935897939487,186
4.30787726470542,4.486461338787499,187
4.311384708117823,4.479276165841742,188
4.3148443112143084,4.472335565026925,189
4.318253349165474,4.465586474995902,190
4.321609884484817,4.4589702834020235,191
4.324912745522652,4.4524253558004006,192
4.328161459708601,4.4458890750394024,193
4.331356165410617,4.439299189580493,194
4.334497527826337,4.432594411264721,195
4.337586682308575,4.4257143534426255,196
4.340625223008225,4.418599043731962,197
4.343615245767391,4.411188361528965,198
4.346559442334038,4.403421815236366,199
